bend_radius,bend_radius,orientation,seperation,miller_value,niave_value
2,2,0,0,11328.876859424872,11863.926278455514
2,2,90,0,10832.045256039275,11863.926278455514
2,2,180,0,10258.778021363587,11863.926278455514
2,2,0,1,11392.937739466422,12042.640605432203
2,2,90,1,10934.32395172587,12042.640605432203
2,2,180,1,10590.363610920458,12042.640605432203
2,2,0,4,11508.684748300977,12578.783586362264
2,2,90,4,11432.249117010884,12578.783586362264
2,2,180,4,11508.684748300977,12578.783586362264
2,2,0,8,12414.631134432957,13293.640894269014
2,2,90,8,12529.284581368094,13293.640894269014
2,2,180,8,12529.284581368094,13293.640894269014
3,3,0,0,11282.793701603547,11810.341211221416
3,3,90,0,10981.337981821907,11810.341211221416
3,3,180,0,10717.564227012972,11810.341211221416
3,3,0,1,11499.189993552938,11989.055538198103
3,3,90,1,11197.7342737713,11989.055538198103
3,3,180,1,10971.64248393507,11989.055538198103
3,3,0,4,11846.923149619475,12525.198519128164
3,3,90,4,11771.559219674065,12525.198519128164
3,3,180,4,11733.877254701361,12525.198519128164
3,3,0,8,12674.82635244434,13240.055827034914
3,3,90,8,12674.82635244434,13240.055827034914
3,3,180,8,12674.82635244434,13240.055827034914
