Case_ID,Type,Dp
2,CFD,1735.96
1,CFD,1727.28
3,CFD,1678
1,Empirical,1655.634399
2,Empirical,1655.634399
3,Empirical,1655.634399
4,CFD,33773
5,CFD,33624
6,CFD,33257
4,Empirical,34103.19246
5,Empirical,34103.19246
6,Empirical,34103.19246
7,CFD,2936
13,CFD,57876
8,CFD,2889
14,CFD,56805
9,CFD,2883
15,CFD,56700
10,CFD,2960
16,CFD,59679
11,CFD,2871
17,CFD,58500
12,CFD,2867
18,CFD,58420
8,Empirical,2905.5533185447166
18,Empirical,61342.948319543815
8,Empirical,2865.6333185447165
18,Empirical,60344.948319543815
